id,date,fk_salon,fk_client,price,rating
0,2000-01-01 02:12:13.000,20,932-263-5048,80.75,2.5
1,2000-01-14 12:25:36.400,13,418-542-9329,64.25,5.0
2,2000-01-19 19:57:40.800,20,278-298-1358,171.25,8.0
3,2000-01-25 02:26:01.200,48,266-998-5646,48.0,7.0
4,2000-02-04 12:02:53.600,47,215-678-5577,13.8,2.5
5,2000-02-11 14:38:23.000,49,809-724-8007,95.25,10.0
6,2000-02-20 10:48:45.400,11,990-505-3792,110.0,3.0
7,2000-03-02 04:15:24.800,18,551-811-1282,882.75,6.5
8,2000-03-02 23:28:10.200,24,469-605-1463,191.975,1.5
9,2000-03-15 19:05:26.600,37,553-073-7598,128.75,7.5
10,2000-03-20 08:21:29.000,38,490-499-4656,63.125,4.0
11,2000-03-31 23:22:35.400,5,600-181-5351,337.25,9.0
12,2000-04-09 05:34:26.800,40,481-919-6553,831.9,3.0
13,2000-04-11 14:01:39.200,9,616-123-4284,68.0,5.5
14,2000-04-24 02:57:41.600,28,289-385-8141,90.25,2.5
15,2000-04-25 18:12:00.000,5,901-873-8611,135.0,7.5
16,2000-05-09 08:02:20.400,7,933-744-5024,54.0,6.5
17,2000-05-13 04:05:33.800,13,397-913-8405,56.9,3.5
18,2000-05-19 19:18:07.200,0,147-488-0989,1485.0,6.0
19,2000-05-27 23:56:32.600,5,200-858-5243,24.9,6.0
20,2000-06-08 19:15:02.000,19,589-883-7023,336.9,5.0
21,2000-06-16 13:41:45.400,34,252-374-8077,81.25,4.5
22,2000-06-24 10:41:40.800,31,168-089-3942,161.6,8.5
23,2000-06-26 01:30:24.200,31,725-925-4777,348.0,6.0
24,2000-07-07 06:36:23.600,14,202-273-5630,170.0,9.0
25,2000-07-15 18:15:05.000,11,506-552-9511,843.0,3.0
26,2000-07-18 22:14:15.400,24,852-348-9194,92.75,7.0
27,2000-07-31 17:56:29.800,42,529-198-8247,76.95,6.5
28,2000-08-06 17:11:33.200,11,635-807-9464,380.0,2.0
29,2000-08-17 02:31:35.600,3,774-828-4870,170.0,7.0
30,2000-08-21 18:37:29.000,3,189-232-0915,362.2,3.5
31,2000-08-27 10:59:48.400,0,212-379-2188,60.875,5.0
32,2000-09-07 09:08:55.800,21,734-046-4929,164.0,5.0
33,2000-09-15 04:26:17.200,44,545-436-1753,74.0,3.5
34,2000-09-24 21:35:55.600,48,314-262-8962,87.75,6.0
35,2000-10-01 19:57:31.000,41,332-162-6561,52.25,6.0
36,2000-10-07 08:24:59.400,7,426-442-1534,197.75,5.5
37,2000-10-16 22:16:45.800,37,551-328-4562,81.75,9.0
38,2000-10-18 22:57:28.200,47,327-183-8704,380.0,2.5
39,2000-10-29 06:41:00.600,31,660-624-7019,71.6,6.5
40,2000-11-04 05:30:12.000,31,262-487-2205,106.21000000000001,3.0
41,2000-11-12 19:47:42.400,20,199-818-5372,336.9,6.0
42,2000-11-22 18:43:58.800,39,554-465-2130,106.9,9.5
43,2000-11-27 06:13:14.200,14,422-579-9950,80.0,8.0
44,2000-12-04 13:16:34.600,24,932-263-5048,198.0,2.5
45,2000-12-16 02:09:20.000,20,708-080-5828,170.0,6.5
46,2000-12-25 16:57:57.400,24,993-969-1741,53.0,5.0
47,2000-12-29 14:46:44.800,37,529-198-8247,81.25,4.5
48,2001-01-10 06:10:09.200,2,792-625-6377,164.0,4.5
49,2001-01-11 02:55:58.600,42,589-658-7492,360.0,3.0
50,2001-01-25 14:47:06.000,42,730-439-5534,348.0,6.5
51,2001-01-26 13:10:42.400,21,350-291-7783,75.75,7.5
52,2001-02-10 06:41:30.800,25,588-531-0551,93.975,6.5
53,2001-02-13 12:56:29.200,20,926-805-1334,111.25,9.0
54,2001-02-21 21:37:49.600,25,115-503-2624,150.0,6.5
55,2001-02-25 22:29:56.000,2,303-966-7023,165.0,8.0
56,2001-03-12 13:11:23.400,14,752-895-2717,46.6,7.0
57,2001-03-13 14:58:54.800,10,884-011-4729,180.25,1.5
58,2001-03-26 07:01:46.200,47,933-164-4896,64.25,4.0
59,2001-04-01 14:07:15.600,40,107-049-9566,128.75,5.5
60,2001-04-08 14:46:42.000,3,943-702-6862,93.8,5.5
61,2001-04-17 01:59:16.400,20,367-572-9573,59.0,4.5
62,2001-04-20 22:36:43.800,14,539-796-4118,108.75,5.5
63,2001-05-02 09:48:39.200,3,616-123-4284,63.96,6.5
64,2001-05-09 03:26:03.600,34,194-542-9067,102.75,8.0
65,2001-05-19 10:06:35.000,5,794-734-8721,118.0,6.0
66,2001-05-23 09:16:11.400,23,822-493-2059,140.25,6.5
67,2001-05-31 04:48:55.800,12,350-795-1039,44.4,5.0
68,2001-06-08 11:43:37.200,1,891-764-8339,37.720000000000006,4.5
69,2001-06-19 12:04:51.600,48,626-229-7531,281.25,4.0
70,2001-06-26 07:58:22.000,2,463-192-6987,35.25,6.0
71,2001-06-29 09:45:36.400,49,724-850-3155,120.25,9.5
72,2001-07-06 17:08:28.800,24,332-162-6561,157.75,5.5
73,2001-07-14 16:37:43.200,39,242-712-4387,220.0,3.5
74,2001-07-25 09:11:58.600,11,852-312-4204,100.0,9.0
75,2001-08-05 07:15:07.000,45,604-977-6562,69.0,5.0
76,2001-08-07 15:17:39.400,10,694-956-8185,56.2,5.5
77,2001-08-19 14:21:03.800,20,408-849-4846,90.0,3.0
78,2001-08-28 03:44:48.200,42,182-041-2861,171.5,6.5
79,2001-08-30 21:28:53.600,36,604-977-6562,1650.0,6.0
80,2001-09-05 16:25:44.000,44,788-957-4051,180.0,3.0
81,2001-09-16 02:10:49.400,9,993-969-1741,157.75,4.5
82,2001-09-27 22:44:59.800,18,730-545-1564,51.75,3.5
83,2001-09-29 19:19:51.200,0,743-766-9524,849.0,7.0
84,2001-10-13 06:38:08.600,28,447-531-3985,220.0,8.5
85,2001-10-19 13:33:42.000,25,556-841-7180,146.9,9.5
86,2001-10-28 01:24:15.400,15,653-663-7720,80.0,6.0
87,2001-11-02 16:50:48.800,43,490-674-5932,55.52,4.5
88,2001-11-09 17:40:55.200,25,830-229-8264,77.0,6.0
89,2001-11-19 12:47:49.600,35,831-070-7458,75.25,4.0
90,2001-11-24 12:56:39.000,40,221-578-0751,128.75,5.0
91,2001-11-30 14:01:23.400,24,163-906-6246,34.5,6.0
92,2001-12-07 00:50:16.800,13,267-078-9646,35.65,6.5
93,2001-12-16 04:21:03.200,44,155-538-0479,157.75,4.5
94,2001-12-22 22:10:05.600,47,839-845-3377,158.0,7.5
95,2002-01-04 08:20:32.000,23,328-529-2220,865.25,6.5
96,2002-01-13 23:10:10.400,13,521-962-6426,33.645,2.5
97,2002-01-18 12:47:44.800,36,942-580-6507,157.75,5.5
98,2002-01-22 17:37:58.200,5,600-181-5351,117.25,9.0
99,2002-02-02 05:59:57.600,49,253-203-7174,690.0,5.5
100,2002-02-13 13:56:51.000,47,302-277-0906,212.0,4.5
101,2002-02-13 21:14:53.400,8,188-301-4008,180.0,8.0
102,2002-02-21 15:34:48.800,21,999-433-0685,158.0,6.0
103,2002-03-06 05:23:59.200,14,212-315-4347,131.25,1.0
104,2002-03-13 20:19:48.600,47,506-552-9511,45.05,6.5
105,2002-03-20 16:02:22.000,8,210-429-9522,336.9,7.0
106,2002-03-31 12:49:02.400,36,175-984-2563,831.9,7.0
107,2002-04-01 20:11:04.800,13,712-502-3319,59.0,5.5
108,2002-04-09 15:48:35.200,32,774-828-4870,700.25,5.0
109,2002-04-22 22:00:52.600,17,136-864-1845,48.0,7.5
110,2002-04-26 00:08:58.000,24,307-658-9775,303.9,1.5
111,2002-05-04 05:57:08.400,42,378-576-7302,45.05,7.5
112,2002-05-16 00:08:09.800,21,674-211-8967,57.5,5.5
113,2002-05-20 01:50:51.200,5,267-056-3771,56.9,4.5
114,2002-05-24 12:11:28.600,24,984-601-6442,142.0,6.0
115,2002-06-06 00:16:03.000,1,490-922-2193,160.0,8.0
116,2002-06-12 19:46:46.400,4,526-220-0112,45.05,8.5
117,2002-06-21 01:02:19.800,8,562-092-1044,81.25,7.0
118,2002-06-25 18:41:19.200,37,197-391-1688,77.0,5.5
119,2002-07-04 12:33:35.600,23,584-978-7206,41.9,4.0
120,2002-07-10 04:34:34.000,14,332-162-6561,67.25,3.5
121,2002-07-24 04:57:10.400,49,350-291-7783,58.25,9.5
122,2002-07-31 00:14:28.800,49,848-093-7081,41.9,6.5
123,2002-08-07 04:13:15.200,33,504-404-1155,130.0,6.5
124,2002-08-15 03:48:47.600,7,469-605-1463,75.0,7.0
125,2002-08-24 06:14:02.000,5,280-233-4915,107.75,2.0
126,2002-08-26 04:22:33.400,17,408-413-6613,192.0,6.0
127,2002-09-03 15:50:00.800,5,101-491-6210,882.75,8.0
128,2002-09-13 07:49:14.200,6,853-152-5606,57.5,6.5
129,2002-09-18 07:18:59.600,22,657-227-4089,67.25,3.0
130,2002-09-30 09:06:43.000,4,470-253-9627,1089.0,5.0
131,2002-10-02 14:54:26.400,9,516-684-0484,52.25,5.0
132,2002-10-14 07:07:00.800,46,712-502-3319,24.15,2.5
133,2002-10-23 15:11:56.200,13,883-852-6314,55.25,8.5
134,2002-10-25 02:03:34.600,35,627-578-1650,170.0,4.5
135,2002-11-03 09:31:22.000,16,451-365-2122,66.225,2.0
136,2002-11-13 07:39:28.400,24,367-572-9573,410.0,8.5
137,2002-11-17 22:00:24.800,33,202-266-4426,41.25,8.5
138,2002-11-26 17:23:54.200,34,191-891-6214,164.0,9.5
139,2002-12-08 20:35:16.600,34,274-854-9454,53.1,6.0
140,2002-12-14 03:21:37.000,12,895-291-4275,82.0,4.0
141,2002-12-22 15:53:08.400,34,683-810-6740,34.5,6.5
142,2002-12-29 17:00:00.800,34,496-157-1659,849.0,5.0
143,2003-01-08 17:21:52.200,34,494-937-7509,93.975,6.5
144,2003-01-12 19:07:59.600,14,267-056-3771,136.0,2.5
145,2003-01-24 11:54:25.000,48,544-931-6915,117.25,4.5
146,2003-01-29 15:58:44.400,13,408-849-4846,137.75,2.5
147,2003-02-03 04:03:54.800,39,125-409-1798,42.0,3.5
148,2003-02-09 16:59:37.200,14,311-109-0321,849.0,4.5
149,2003-02-18 22:40:03.600,4,977-674-6380,115.0,7.0
150,2003-02-26 13:33:56.000,31,984-601-6442,147.0,7.0
151,2003-03-05 13:01:57.400,41,891-343-6694,24.15,5.0
152,2003-03-15 23:53:06.800,11,231-037-4692,365.0,4.5
153,2003-03-24 14:42:40.200,5,556-504-9560,853.75,4.0
154,2003-04-01 09:32:20.600,22,935-681-8292,161.6,9.0
155,2003-04-07 22:17:27.000,47,251-993-4858,63.75,8.5
156,2003-04-16 13:33:43.400,19,559-378-1293,347.25,8.0
